"LAF","ST","AST","REV-ST","REV-AST","TMP","channel","start_time","end_time","source_file"
-195.998,-0.0663687,-0.0789881,0.0158669,-0.193731,1942.126,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-195.744,-0.0723717,0.00775757,0.00245333,-0.17897,637.604,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-195.49,-0.106874,0.0167076,-0.0265619,-0.0905257,-16.795,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-195.235,-0.152509,-0.0345346,0.00229678,0.0385269,266.991,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-194.981,-0.0525356,-0.0134906,-0.0555136,0.046051,-67.278,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-194.727,-0.0136636,0.000757949,-0.121461,-0.0680849,-127.489,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-194.473,-0.0185134,-0.00345907,-0.127219,-0.0293785,-119.857,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-194.219,0.012425,-0.00336091,0.0119362,0.0396334,24.829,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-193.964,-0.131576,-0.0904026,0.259235,-0.0589354,-80.14,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-193.71,-0.114269,-0.166786,0.201096,-0.094941,2.149,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-193.456,-0.0256145,-0.109759,0.128011,0.0266541,24.214,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-193.202,0.059986,-0.0285938,-0.0480725,0.0902898,24.532,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-192.948,0.0317473,-0.02503,-0.0759036,0.106017,44.987,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-192.693,0.0459245,0.0229951,0.0802791,0.0486659,-50.328,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-192.439,0.000585015,0.0672323,0.0164753,-0.0951294,0,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-192.185,0.0296863,0.0776622,-0.00849817,-0.17026,0,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-191.931,0.026379,0.113221,0.0453018,-0.0244632,149.361,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-191.677,0.0324822,0.0320489,0.0111606,0.0394272,242.035,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-191.422,0.0452366,-0.0667408,-0.105438,-0.0441734,-6.188,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-191.168,0.082258,-0.0604075,-0.0747019,0.00562205,-113.536,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-190.914,0.041433,-0.0191797,0.100581,-0.0112763,-115.191,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-190.66,-0.0760356,-0.0940583,0.131828,-0.121426,48.631,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-190.406,-0.101674,-0.19696,-0.0921138,-0.121269,167.957,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
-190.151,-0.0655297,-0.0610488,-0.129098,-0.165549,53.829,"0","2025-10-26T14:19:22.346Z","2025-10-26T14:31:23.805Z","channel 1_UTC_20251026_141922.346.xml"
