"LAF","ST","AST","REV-ST","REV-AST","TMP","start_time","depth_m","datetime","label","leg"
33.655,2956.03,2729.92,3196.22,2927.9,10.325,"2026-05-02T11:59:36.502Z",33.655,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
33.909,2955.26,2729.37,3197.82,2929.33,10.329,"2026-05-02T11:59:36.502Z",33.909,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
34.164,2954.48,2728.93,3198.86,2930.05,10.331,"2026-05-02T11:59:36.502Z",34.164,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
34.418,2955.26,2729.66,3198.67,2929.94,10.333,"2026-05-02T11:59:36.502Z",34.418,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
34.672,2955.36,2729.37,3199.21,2930.53,10.324,"2026-05-02T11:59:36.502Z",34.672,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
34.926,2953.64,2727.67,3200.47,2931.51,10.316,"2026-05-02T11:59:36.502Z",34.926,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
35.18,2953.43,2727.33,3200.56,2931.49,10.308,"2026-05-02T11:59:36.502Z",35.18,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
35.435,2954.82,2728.31,3200.04,2931.24,10.306,"2026-05-02T11:59:36.502Z",35.435,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
35.689,2954.82,2728.43,3200.78,2932.21,10.318,"2026-05-02T11:59:36.502Z",35.689,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
35.943,2953.54,2727.66,3201.98,2933.34,10.331,"2026-05-02T11:59:36.502Z",35.943,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
36.197,2953.59,2727.61,3202.23,2933.59,10.329,"2026-05-02T11:59:36.502Z",36.197,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
36.451,2954.55,2728.17,3202.36,2933.88,10.324,"2026-05-02T11:59:36.502Z",36.451,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
36.706,2953.93,2727.7,3203.41,2934.73,10.324,"2026-05-02T11:59:36.502Z",36.706,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
36.96,2952.77,2726.46,3204.26,2935.38,10.315,"2026-05-02T11:59:36.502Z",36.96,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
37.214,2952.81,2726.28,3204.02,2935.5,10.318,"2026-05-02T11:59:36.502Z",37.214,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
37.468,2952.93,2726.42,3204.11,2935.97,10.33,"2026-05-02T11:59:36.502Z",37.468,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
37.722,2951.46,2725.38,3205,2936.72,10.338,"2026-05-02T11:59:36.502Z",37.722,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
37.977,2950.58,2724.63,3205.09,2936.52,10.331,"2026-05-02T11:59:36.502Z",37.977,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
38.231,2951.61,2725.38,3204.4,2935.85,10.324,"2026-05-02T11:59:36.502Z",38.231,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
38.485,2952.55,2725.94,3204.85,2936.44,10.32,"2026-05-02T11:59:36.502Z",38.485,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
38.739,2951.78,2725.17,3206.37,2937.77,10.317,"2026-05-02T11:59:36.502Z",38.739,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
38.993,2950.85,2724.44,3207.16,2938.41,10.318,"2026-05-02T11:59:36.502Z",38.993,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
39.248,2950.74,2724.38,3207.11,2938.57,10.325,"2026-05-02T11:59:36.502Z",39.248,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
39.502,2949.84,2723.59,3207.36,2938.95,10.33,"2026-05-02T11:59:36.502Z",39.502,2026-05-02 11:59:36.502,"2026-05-02 11:59","down"
